Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Rick and Morty,7.7,"15 | 22 min | Animation, Adventure, Comedy","8,610","['Wesley Archer', 'Kyoung Hee Lim']","['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",,"Animation, Adventure, Comedy",22 min
The Walking Dead,9.0,"15 | 44 min | Drama, Horror, Thriller","8,608",['Greg Nicotero'],"['Norman Reedus', 'Danai Gurira', 'Melissa McBride', 'Christian Serratos']",,"Drama, Horror, Thriller",44 min
Anything for Jackson,6.3,A bereaved Satanist couple kidnap a pregnant woman so they can use an ancient spellbook to put their dead grandson's spirit into her unborn child but end up summoning more than they bargained for.,"8,555",['Justin G. Dyck'],"['Sheila McCarthy', 'Julian Richings', 'Konstantina Mantelos', 'Josh Cruddas']",67,Horror,97 min
Made in Italy,5.9,A bohemian artist travels from London to Italy with his estranged son to sell the house they inherited from their late wife/mother.,"8,552","[""James D'Arcy""]","['Yolanda Kettle', 'Micheál Richardson', 'Souad Faress', 'Liam Neeson']",44,"Comedy, Drama, Romance",94 min
Echo Boomers,5.6,"Based on a true story, five college graduates decide the best way to get back at the unfair economy and live the life they've always wanted is to steal from Chicago's richest and give to themselves.","8,507",['Seth Savoy'],"['Michael Shannon', 'Patrick Schwarzenegger', 'Alex Pettyfer', 'Hayley Law']",37,"Action, Crime, Drama",94 min
For Life,7.6,A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.,"8,495",,"['Nicholas Pinnock', 'Indira Varma', 'Joy Bryant', 'Dorian Missick']",,"Biography, Crime, Drama",43 min
Money Heist,8.2,"15 | 60 min | Action, Crime, Drama","8,460",['Jesús Colmenar'],"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",,"Action, Crime, Drama",60 min
The Heist of the Century,7.1,"In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina when they rob the Banco Río branch in Acassuso.","8,432",['Ariel Winograd'],"['Guillermo Francella', 'Diego Peretti', 'Luis Luque', 'Pablo Rago']",,"Action, Biography, Comedy",114 min
Dark 7 White,6.4,"Yudi, a young politician, is murdered in broad daylight, which opens a can of worms. His closest friends become prime suspects, and as the mystery unfolds, many dark secrets unravel.","8,431",,"['Sumeet Vyas', 'Nidhi Singh', 'Jatin Sarna', 'Monika Choudhary']",,Crime,20 min
Trying,7.9,"All Jason and Nikki want is a baby, but it's the one thing they just can't have. So, they decide to adopt. With their dysfunctional friends, screwball family and chaotic lives will the adoption panel think they're ready to be parents?","8,427",,"['Rafe Spall', 'Esther Smith', 'Sian Brooke', 'Oliver Chris']",,"Comedy, Drama, Romance",30 min
V,6.7,A celebrated cop attempts to hunt down a serial killer who has specifically challenged him to put an end to the killing spree.,"8,413",['Mohana Krishna Indraganti'],"['Nani', 'Sudheer Babu Posani', 'Nivetha Thomas', 'Aditi Rao Hydari']",,"Action, Crime, Thriller",140 min
What Lies Below,4.4,"A 16-year-old girl returns home from camp and learns that her mother has a new boyfriend, one she intends to marry. A man whose charm, intelligence and beauty make him look like he's not human at all.","8,387",['Braden R. Duemmler'],"['Ema Horvath', 'Troy Iwata', 'Danny Corbo', 'Mena Suvari']",35,"Horror, Mystery, Sci-Fi",87 min
Nine Days,6.8,A reclusive man conducts a series of interviews with human souls for a chance to be born.,"8,376",['Edson Oda'],"['Winston Duke', 'Zazie Beetz', 'Bill Skarsgård', 'Benedict Wong']",72,"Drama, Fantasy",124 min
AJ and the Queen,7.5,"Ruby Red, a down-on-her-luck drag queen traveling across America, develops an unlikely sidekick named AJ.","8,349",,"['RuPaul', 'Izzy G.', 'Michael-Leon Wooley', 'Josh Segarra']",,"Adventure, Comedy, Drama",52 min
Skylines,4.7,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.","8,334","[""Liam O'Donnell""]","['Lindsey Morgan', 'Jonathan Howard', 'Daniel Bernhardt', 'Rhona Mitra']",46,"Action, Adventure, Sci-Fi",113 min
Love Is Blind,6.1,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.","8,294",,"['Nick Lachey', 'Vanessa Lachey', 'Danielle Ruhl', 'Deepti Vempati']",,"Game-Show, Reality-TV, Romance",48 min
The World to Come,6.3,"Somewhere along the mid-19th century American East Coast frontier, two neighboring couples battle hardship and isolation, witnessed by a splendid yet testing landscape, challenging them both physically and psychologically.","8,275",['Mona Fastvold'],"['Katherine Waterston', 'Vanessa Kirby', 'Casey Affleck', 'Christopher Abbott']",73,"Drama, Romance",105 min
Flower of Evil,8.7,"""Flower of Evil"" is a suspense melodrama about a man who hides his cruel past and changes his identity, while his detective wife tracks down his past.","8,241",,"['Lee Joon-Gi', 'Moon Chae-Won', 'Seo Hyun-woo', 'Choi Dae-hoon']",,"Crime, Mystery, Romance",70 min
Karakomik Filmler: Deli,6.5,"In the first part of Karakomik Filmler's sequel, Deli (Crazy) is about a taxi driver who's biggest wish is to sit across his loved one one day to get lost in her eyes. Trouble finds him while he's out working the night shift.","8,241",['Cem Yilmaz'],"['Cem Yilmaz', 'Büsra Develi', 'Özkan Ugur', 'Cem Davran']",,"Comedy, Drama",60 min
FBI: Most Wanted,6.9,It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBI's Most Wanted list.,"8,166",,"['Roxy Sternberg', 'Keisha Castle-Hughes', 'Julian McMahon', 'YaYa Gosselin']",,"Action, Crime, Drama",45 min
Westworld,8.2,"18 | 58 min | Drama, Mystery, Sci-Fi","8,154",['Jennifer Getzinger'],"['Evan Rachel Wood', 'Thandiwe Newton', 'Jeffrey Wright', 'Tessa Thompson']",,"Drama, Mystery, Sci-Fi",58 min
McMillions,7.2,"A detailed account of the McDonald's Monopoly game scam during the 1990s as told by the participants in the case, including the prizewinners and the FBI agents involved.","8,135",,"['Chris Graham', 'Doug Mathews', 'Amy Murray', 'Janet Pellicciotti']",,"Documentary, Crime, History",344 min
Unpregnant,6.5,"A 17-year old Missouri teen named Veronica discovers she has gotten pregnant, a development that threatens to end her dreams of matriculating at an Ivy League college, and the career that will follow.","8,130",['Rachel Lee Goldenberg'],"['Haley Lu Richardson', 'Barbie Ferreira', 'Giancarlo Esposito', 'Alex MacNicoll']",61,"Comedy, Drama",103 min
High Score,7.4,"Traces the history of classic video games, featuring insights from the innovators who brought these worlds and characters to life.","8,113",,"['Charles Martinet', 'Rebecca Ann Heineman', 'Nolan Bushnell', 'John Romero']",,"Documentary, History",252 min
The Block Island Sound,5.3,"Something lurks off the coast of Block Island, silently influencing the behavior of fisherman, Tom Lynch. After suffering a series of violent outbursts, he unknowingly puts his family in grave danger.","8,084","['Kevin McManus', 'Matthew McManus']","['Chris Sheffield', 'Michaela McManus', 'Neville Archambault', ""Ryan O'Flanagan""]",,"Horror, Mystery, Sci-Fi",99 min
The Duke,6.9,"In 1961, Kempton Bunton, a 60 year old taxi driver, steals Goya's portrait of the Duke of Wellington from the National Gallery in London.","8,084",['Roger Michell'],"['Jim Broadbent', 'Heather Craney', 'Stephen Rashbrook', 'James Wilby']",74,"Biography, Comedy, Crime",95 min
Power Book II: Ghost,7.3,The journey of some of Power's most controversial characters.,"8,007",,"['Michael Rainey Jr.', 'Shane Johnson', 'Gianni Paolo', 'Lovell Adams-Gray']",,"Crime, Drama",60 min
I Am Greta,7.7,"The documentary follows Greta Thunberg, a teenage climate activist from Sweden, on her international crusade to get people to listen to scientists about the world's environmental problems.","8,001",['Nathan Grossman'],"['Greta Thunberg', 'Svante Thunberg', 'Niclas Svenningsen', 'António Guterres']",69,"Documentary, Biography",97 min
The Owners,4.9,"A group of friends think they've found an easy score at an empty house with a safe full of cash, but when the elderly owners arrive home things begin to go awry.","7,986",['Julius Berg'],"['Maisie Williams', 'Sylvester McCoy', 'Rita Tushingham', 'Jake Curran']",54,"Comedy, Crime, Horror",92 min
Sarileru Neekevvaru,5.8,A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,"7,986",['Anil Ravipudi'],"['Mahesh Babu', 'Rashmika Mandanna', 'Vijayshanti', 'Rajendra Prasad']",,"Action, Comedy, Drama",169 min
Triggered,5.1,Nine high school friends have a five-year reunion camping in a forest. They all have secrets. Their old science teacher straps a time bomb to each of them. Killing another gives one their time. Last one lives.,"7,975",['Alastair Orr'],"['Reine Swart', 'Russell Crous', 'Liesl Ahlers', 'Cameron Scott']",48,"Action, Comedy, Horror",94 min
Ozark,9.4,"15 | 66 min | Crime, Drama, Thriller","7,950",['Alik Sakharov'],"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",,"Crime, Drama, Thriller",66 min
Spell,5.5,A man crash lands in rural Appalachia and awakens in the attic of a traditional Hoodoo practitioner. He desperately tries to break free from her dark magic and save his family from a sinister ritual before the rise of the blood moon.,"7,932",['Mark Tonderai'],"['Omari Hardwick', 'Loretta Devine', 'Lorraine Burroughs', 'Hannah Gonera']",38,"Horror, Thriller",91 min
Ishq Mein Marjawan 2,6.8,"Riddhima and Vansh are back but this time, their relationship is not what it appears to be. Which new (or old?) enemy will they have to fight?","7,920",,"['Helly Shah', 'Rrahul Sudhir', 'Vishal Vashishtha', 'Bhimraj Malaji']",,"Drama, Mystery, Romance",25 min
New Order,6.5,A lavish high-society wedding unexpectedly turns into a class struggle that leads to a violent coup.,"7,918",['Michel Franco'],"['Eligio Meléndez', 'Regina Flores', 'Dalia Zuñiga', 'Gabriela Ruíz']",62,"Crime, Drama, Sci-Fi",86 min
Raktanchal,6.8,"Raktanchal is a crime drama inspired by real-life events from the '80s of Purvanchal, Uttar Pradesh, at the time when the state development work was distributed through tenders. The ... See full summary »","7,902",,"['Kranti Prakash Jha', 'Pravina Bhagwat Deshpande', 'Shashi Chaturvedi', 'Nikitin Dheer']",,"Action, Crime",30 min
Books of Blood,5.6,A journey into uncharted and forbidden territory through three tales tangled in space and time.,"7,895",['Brannon Braga'],"['Britt Robertson', 'Freda Foh Shen', 'Nicholas Campbell', 'Anna Friel']",42,"Drama, Horror, Mystery",107 min
Have a Good Trip: Adventures in Psychedelics,6.8,"Mixing comedy with a thorough investigation of psychedelics, 'Have a Good Trip' explores the pros, cons, science, history, future, pop cultural impact, and cosmic possibilities of hallucinogens.","7,887",['Donick Cary'],"['Nick Offerman', 'Sting', 'A$AP Rocky', 'Bill Kreutzmann']",44,"Documentary, Comedy",85 min
Proximity,4.8,"A young NASA JPL scientist is abducted by extraterrestrials, but when no one believes his story he becomes obsessed with finding proof, which leads him on a journey of discovery.","7,886",['Eric Demeusy'],"['Ryan Masson', 'Highdee Kuan', 'Christian Prentice', 'Shaw Jones']",38,"Drama, Sci-Fi",119 min
Criminal Justice: Behind Closed Doors,7.4,"Anuradha Chandra stabs her perfect lawyer husband one fateful night and confesses to her crime. However, it is anything but an open and shut case.","7,880",,"['Pankaj Tripathi', 'Kirti Kulhari', 'Anupriya Goenka', 'Adrija Sinha']",,Crime,
Deadwater Fell,6.5,"When a seemingly perfect and happy family is murdered by someone they knew and trusted, cracks appear on the surface of a supposedly idyllic community.","7,815",,"['David Tennant', 'Cush Jumbo', 'Matthew McNulty', 'Bradley Connell']",,"Crime, Drama, Mystery",184 min
Dark Desire,6.5,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy, and leads her to question the truth about those close to her.","7,809",,"['Maite Perroni', 'Erik Hayser', 'Jorge Poza', 'Regina Pavón']",,"Drama, Mystery, Thriller",30 min
Original Gangster,5.9,"The stoic chronicles of Castor, orphaned as a child, forced to survive in the wild and his colorful journey through the criminal underworld of London.","7,807",['Savvas D. Michael'],"['Steve Guttenberg', 'Joss Carter', 'Vas Blackwood', 'Ian Reddington']",,Crime,110 min
I'll Be Gone in the Dark,7.4,Gripping examination of the unsolved crimes of the Golden State Killer who terrorized California in the 1970s and 1980s.,"7,794",,"['Patton Oswalt', 'Paul Haynes', 'Amy Ryan', 'Lauren Orlando']",,"Documentary, Crime, Mystery",353 min
Through the Glass Darkly,6.7,"A year after Charlie's daughter disappears, another girl from Elrod, Georgia goes missing. Convinced there is a connection, Charlie draws suspicion and contempt from local law enforcement and townspeople as she stops at nothing to expose its most devastating and darkest secret.","7,787",['Lauren Fash'],"['Robyn Lively', 'Michael Trucco', 'Shanola Hampton', 'Katrina Norman']",,Thriller,103 min
Street Dancer 3D,3.6,"Two rival dance groups from India and Pakistan who are always competing against each other, join forces when it comes to competing at an international dance competition.","7,765","[""Remo D'Souza""]","['Varun Dhawan', 'Shraddha Kapoor', 'Prabhu Deva', 'Nora Fatehi']",,"Drama, Music",146 min
Bloody Hell,6.5,"A man with a mysterious past flees the country to escape his own personal hell - only to arrive somewhere much, much worse.","7,711",['Alister Grierson'],"[""Ben O'Toole"", 'Meg Fraser', 'Caroline Craig', 'Matthew Sunderland']",52,"Action, Comedy, Horror",93 min
James May: Our Man in...,8.2,"James May embarks on a remarkable journey across Japan, from its icy north to its balmy south. He'll see the sights, meet the locals, and eat the noodles in a bid to truly understand the Land of the Rising Sun.","7,694",,"['James May', 'Yujiro Taniyama', 'Paolo Damiano', 'Makiko Kobayashi']",,"Documentary, Adventure, Comedy",50 min
Westworld,7.8,"18 | 59 min | Drama, Mystery, Sci-Fi","7,684",['Helen Shaver'],"['Evan Rachel Wood', 'Thandiwe Newton', 'Jeffrey Wright', 'Tessa Thompson']",,"Drama, Mystery, Sci-Fi",59 min
The Walking Dead,8.3,"15 | 45 min | Drama, Horror, Thriller","7,682",['Greg Nicotero'],"['Norman Reedus', 'Melissa McBride', 'Christian Serratos', 'Josh McDermitt']",,"Drama, Horror, Thriller",45 min
Serious Men,6.8,"Tormented with his 'under-privileged' societal status, a father capitalizes on his son's newfound fame as a boy-genius. Little does he realize that the secret he harbors will destroy the very thing he loves the most.","7,677","['Sudhir Mishra', 'Sachin Krishn']","['Nawazuddin Siddiqui', 'Nassar', 'Aakshath Das', 'Indira Tiwari']",,"Comedy, Drama",114 min
Ozark,9.3,"15 | 62 min | Crime, Drama, Thriller","7,668",['Alik Sakharov'],"['Jason Bateman', 'Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",,"Crime, Drama, Thriller",62 min
Joe Bell,6.1,"The true story of a small-town, working-class father who embarks on a walk across the U.S. to crusade against bullying after his son is tormented in high school for being gay. Meanwhile, he... See full summary »","7,667",['Reinaldo Marcus Green'],"['Mark Wahlberg', 'Reid Miller', 'Connie Britton', 'Maxwell Jenkins']",54,"Biography, Drama",94 min
Anjaam Pathiraa,7.9,"The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?","7,652",['Midhun Manuel Thomas'],"['Kunchacko Boban', 'Jinu Joseph', 'Unnimaya Prasad', 'Sreenath Bhasi']",,"Crime, Mystery, Thriller",144 min
The Letter for the King,6.0,"Tiuri, a teenage squire, answers a call for help that sends him on a perilous mission across the three kingdoms to deliver a secret letter to the King.","7,647",,"['Amir Wilson', 'Ruby Ashbourne Serkis', 'Thaddea Graham', 'Islam Bouakkaz']",,"Action, Adventure, Family",
Rifkin's Festival,6.1,"A married American couple goes to the San Sebastian Festival and gets caught up in the magic of the event, the beauty and charm of the city, and the fantasy of movies.","7,620",['Woody Allen'],"['Wallace Shawn', 'Michael Garvey', 'Damian Chapa', 'Bobby Slayton']",44,"Comedy, Romance",88 min
Panga,6.8,"Panga is inspired by the life of a National-level Kabbadi player from India. It follows her triumphs, struggle, and overcoming of stereotypes. It shows how important family love and support is for success.","7,610",['Ashwiny Iyer Tiwari'],"['Kangana Ranaut', 'Jassie Gill', 'Richa Chadha', 'Neena Gupta']",,"Drama, Sport",131 min
Crip Camp,7.7,"Down the road from Woodstock, a revolution blossomed at a ramshackle summer camp for teenagers with disabilities, transforming their lives and igniting a landmark movement.","7,606","['James Lebrecht', 'Nicole Newnham']","['James Lebrecht', ""Lionel Je'Woodyard"", ""Joseph O'Conor"", 'Ann Cupolo Freeman']",86,"Documentary, History",106 min
Paranormal,9.3,"15 | 53 min | Drama, Fantasy, Horror","7,601",['Amr Salama'],"['Abdelsamee Abdallah', 'Ahmed Amin', 'Sandy Issa Balat', 'Reem Abd El Kader']",,"Drama, Fantasy, Horror",53 min
Jamtara: Sabka Number Ayega,7.3,"A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme -- and a cop wants to fight it.","7,579",,"['Amit Sial', 'Sparsh Srivastav', 'Monika Panwar', 'Anshuman Pushkar']",,Crime,29 min
Leyla Everlasting,3.7,"A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript.","7,567",['Ezel Akay'],"['Haluk Bilginer', 'Demet Akbag', 'Elçin Sangu', 'Firat Tanis']",,Comedy,112 min
Fear City: New York vs the Mafia,7.1,"Five Mafia families ruled New York with a bloody fist in the 1970s and '80s, until a group of federal agents tried the unthinkable: taking them down.","7,560",,"['John Alite', 'Michael Franzese', 'Jim Kossler', 'John Joyce']",,"Documentary, Crime",156 min
The Dinner Party,4.8,"A budding playwright and his wife attend a dinner party hosted by wealthy, cultural elites, who have promised to bankroll the writer's latest play to Broadway, but, in fact, have darker designs in mind for the couple.","7,550",['Miles Doleac'],"['Jeremy London', 'Bill Sage', 'Alli Hart', 'Sherri Eakin']",,"Horror, Thriller",116 min
Run,6.2,"Two ex-lovers, a married American woman and an aspiring British writer, activate a long-planned escape plan and disappear together for a week. They soon get into trouble and a cop goes after them.","7,548",,"['Merritt Wever', 'Domhnall Gleeson', 'Rich Sommer', 'Archie Panjabi']",,"Comedy, Romance, Thriller",30 min
30 Coins,7.1,An exiled priest tries to escape his demons while living in a remote village in Spain.,"7,544",,"['Eduard Fernández', 'Megan Montaner', 'Miguel Ángel Silvestre', 'Macarena Gómez']",,"Drama, Fantasy, Horror",60 min
Paranormal,8.5,"15 | 52 min | Drama, Fantasy, Horror","7,524",['Amr Salama'],"['Ahmed Amin', 'Ahmad Dash', 'Reem Abd El Kader', 'Mostafa Elmorsy']",,"Drama, Fantasy, Horror",52 min
The Pharmacist,7.7,"In 1999, after losing his son in a drug-related shooting in New Orleans and lacking answers from police, a small town pharmacist - Dan Schneider - beats the odds when he embarks on a dogged... See full summary »","7,491",,,,"Documentary, Crime",217 min
Undine,6.6,"Undine works as a historian lecturing on Berlin's urban development. But when the man she loves leaves her, the ancient myth catches up with her. Undine has to kill the man who betrays her and return to the water.","7,487",['Christian Petzold'],"['Paula Beer', 'Franz Rogowski', 'Maryam Zaree', 'Jacob Matschenz']",75,"Drama, Fantasy, Mystery",91 min
Supernatural,8.4,"15 | 41 min | Drama, Fantasy, Horror","7,437",['Richard Speight Jr.'],"['Jared Padalecki', 'Jensen Ackles', 'Alexander Calvert', 'Misha Collins']",,"Drama, Fantasy, Horror",41 min
Trance,7.3,A disheartened motivational speaker gets hired by a corporate to become a preacher until his live stint on television puts him and his service under the scanner.,"7,390",['Anwar Rasheed'],"['Fahadh Faasil', 'Gautham Vasudev Menon', 'Nazriya Nazim', 'Joju George']",,"Drama, Thriller",170 min
French Exit,5.9,An aging Manhattan socialite existing on the last of her inheritance moves to a small Paris apartment with her son and cat.,"7,374",['Azazel Jacobs'],"['Michelle Pfeiffer', 'Lucas Hedges', 'Tracy Letts', 'Valerie Mahaffey']",56,"Comedy, Drama",113 min
Bad Tales,6.4,A few families living out on a limb in the suburbs of Rome. Tensions here can explode at any time; ultimately it's the children who bring about the collapse.,"7,355","[""Damiano D'Innocenzo"", ""Fabio D'Innocenzo""]","['Elio Germano', 'Tommaso Di Cola', 'Giulietta Rebeggiani', 'Gabriel Montesi']",60,"Drama, Mystery, Thriller",98 min
True Beauty,8.0,"After being bullied and discriminated because of her ugly looks, a high school girl transforms herself into a gorgeous ""goddess"" and quickly rises to fame after mastering the art of makeup via online tutorial videos.","7,340",,"['Moon Ga-young', 'Cha Eun-Woo', 'Hwang In-Youp', 'Yoo-na Park']",,"Comedy, Drama, Romance",70 min
Save Yourselves!,5.8,"A young Brooklyn couple heads to an upstate cabin to unplug from their phones and reconnect with each other. Blissfully unaware of their surroundings, they are left to their own devices as the planet falls under attack.","7,339","['Alex Huston Fischer', 'Eleanor Wilson']","['Sunita Mani', 'John Reynolds', 'Ben Sinclair', 'John Early']",67,"Adventure, Comedy, Sci-Fi",93 min
Money Heist,7.1,"15 | 45 min | Action, Crime, Drama","7,319",['Javier Quintas'],"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",,"Action, Crime, Drama",45 min
Summerland,7.0,"During World War II, an Englishwoman opens her heart to an evacuee after initially resolving to be rid of him in this moving journey of womanhood, love and friendship.","7,310",['Jessica Swale'],"['Gemma Arterton', 'Gugu Mbatha-Raw', 'Penelope Wilton', 'Tom Courtenay']",56,"Drama, Romance, War",99 min
Undekhi,8.0,"A dancer is killed in a fit of rage at the wedding of the scion of the Atwal family. A cop comes looking for the girl, while a film crew wants to expose the Atwals for their heinous crime. The Atwals will go to any lengths to remove pawns.","7,286",,"['Harsh Chhaya', 'Surya Sharma', 'Anchal Singh', 'Ankur Rathee']",,Crime,32 min
Grand Army,7.5,"The drama series tells the story of five high school students as they struggle with sexual, racial and economic politics and fight to succeed and become somebody.","7,282",,"['Odessa A’zion', 'Odley Jean', 'Amir Bageria', 'Maliq Johnson']",,Drama,
Quiz,7.3,"'Quiz' tells the story of Charles Ingram, a former British army major who caused a major scandal after being caught cheating his way to winning £1 million on the game show 'Who Wants To Be A Millionaire?'","7,237",,"['Matthew Macfadyen', 'Sian Clifford', 'Mark Bonnar', 'Aisling Bea']",,"Crime, Drama, History",147 min
Resistance,6.5,The story of mime Marcel Marceau as he works with a group of Jewish boy scouts and the French Resistance to save the lives of ten thousand orphans during World War II.,"7,231",['Jonathan Jakubowicz'],"['Jesse Eisenberg', 'Clémence Poésy', 'Matthias Schweighöfer', 'Félix Moati']",53,"Biography, Drama, History",120 min
Superman: Man of Tomorrow,6.4,Daily Planet intern Clark Kent takes learning-on-the-job to new extremes when Lobo and Parasite set their sights on Metropolis.,"7,225",['Chris Palmer'],"['Darren Criss', 'Zachary Quinto', 'Ike Amadi', 'Eugene Byrd']",,"Animation, Action, Sci-Fi",86 min
Supernatural,8.4,"15 | 42 min | Drama, Fantasy, Horror","7,201",['John F. Showalter'],"['Jared Padalecki', 'Jensen Ackles', 'Alexander Calvert', 'Rob Benedict']",,"Drama, Fantasy, Horror",42 min
Money Heist,7.3,"15 | 52 min | Action, Crime, Drama","7,164",['Koldo Serra'],"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",,"Action, Crime, Drama",52 min
Blithe Spirit,5.4,"A spiritualist medium holds a seance for a writer suffering from writer's block but accidentally summons the spirit of his deceased first wife, which leads to an increasingly complex love triangle with his current wife of five years.","7,157",['Edward Hall'],"['Dan Stevens', 'Isla Fisher', 'Aimee-Ffion Edwards', 'Michele Dotrice']",26,"Comedy, Fantasy, Romance",99 min
The Doorman,4.6,"A woman returns from combat and befriends a family in NYC. A gang of thieves plot to take the family's valuables, and she is all that stands between them and their lives.","7,144",['Ryûhei Kitamura'],"['Ruby Rose', 'Jean Reno', 'Aksel Hennie', 'Rupert Evans']",41,"Action, Drama, Thriller",97 min
Four Good Days,6.5,A mother helps her daughter work through four crucial days of recovery from substance abuse.,"7,132",['Rodrigo García'],"['Mila Kunis', 'Carla Gallo', 'Glenn Close', 'Stephen Root']",52,Drama,100 min
Star Trek: Picard,8.2,"12 | 44 min | Action, Adventure, Drama","7,128",['Hanelle M. Culpepper'],"['Patrick Stewart', 'Alison Pill', 'Isa Briones', 'Harry Treadaway']",,"Action, Adventure, Drama",44 min
Money Heist,6.8,"15 | 42 min | Action, Crime, Drama","7,120","['Alex Rodrigo', 'Koldo Serra']","['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",,"Action, Crime, Drama",42 min
Chaman Bahaar,6.9,"A small town panwalla falls for a schoolgirl who lives opposite his shop. He experiences love, jealousy and betrayal without meeting her even once.","7,118",['Apurva Dhar Badgaiyann'],"['Jitendra Kumar', 'Ritika Badiani', 'Bhuvan Arora', 'Dherendra Kumar Tiwari']",,"Comedy, Drama",111 min
Night in Paradise,6.7,"Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.","7,118",['Park Hoon-jung'],"['Tae-goo Eom', 'Jeon Yeo-bin', 'Seung-Won Cha', 'Dong-in Cho']",59,"Action, Crime, Drama",131 min
Challenger: The Final Flight,7.8,"Four-part docuseries on the 1986 Challenger space shuttle disaster, unpacking an indelible moment for a generation of Americans.","7,108",,"['June Scobee Rodgers', 'William Harwood', 'John Zarrella', 'Frederick D. Gregory']",,"Documentary, History",179 min
Kannum Kannum Kollaiyadithaal,7.6,Two wily online scammers mend their fraudulent ways after meeting the girls of their dreams - until a deceitful discovery throws their world for a loop.,"7,097",['Desingh Periyasamy'],"['Dulquer Salmaan', 'Rakshan', 'Ritu Varma', 'Gautham Vasudev Menon']",,"Drama, Romance, Thriller",160 min
Equinox,6.1,"Astrid was traumatized by the mysterious disappearance of a school class in 1999. Twenty years later, when she finds out that the only survivor from 1999 mysteriously died, Astrid sets off to discover what really happened.","7,096",,"['Danica Curcic', 'Lars Brygmann', 'Karoline Hamm', 'Hanne Hedelund']",,"Drama, Fantasy, Mystery",43 min
The Swarm,5.3,"A single mother's business of a locust farm isn't doing so well. She discovers by accident that blood makes them thrive, and does her best to hide her secrets.","7,094",['Just Philippot'],"['Suliane Brahim', 'Sofian Khammes', 'Marie Narbonne', 'Raphael Romand']",,"Drama, Fantasy, Horror",101 min
The Circle,7.3,"Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle"".","7,081",,"['Michelle Buteau', 'Chloe Veitch', 'Deleesa Carrasquillo', 'Jack Atkins']",,"Game-Show, Reality-TV",48 min
Paranormal,9.0,"15 | 45 min | Drama, Fantasy, Horror","7,052",['Amr Salama'],"['Abdelsamee Abdallah', 'Ahmed Amin', 'Carlton Caudle', 'Reem Abd El Kader']",,"Drama, Fantasy, Horror",45 min
Euphoria,8.9,18 | 64 min | Drama,"7,013",['Sam Levinson'],"['Zendaya', 'Colman Domingo', 'Hunter Schafer', 'Marsha Gambles']",,Drama,64 min
Money Heist,8.1,"15 | 52 min | Action, Crime, Drama","6,996",['Koldo Serra'],"['Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']",,"Action, Crime, Drama",52 min
The Lego Star Wars Holiday Special,6.4,"Rey leaves her friends to prepare for Life Day as she sets off on an adventure to gain a deeper knowledge of the Force. At a mysterious temple, she is hurled into a cross-timeline adventure. Will she make it back in time for Life Day?","6,985",['Ken Cunningham'],"['A.J. LoCascio', 'Anthony Daniels', 'Ben Prendergast', 'Billy Dee Williams']",,"Animation, Short, Action",44 min
Unknown Origins,6.1,"Madrid, 2019. A serial killer is spreading chaos. Anonymous people with no apparent connection are being murdered while imitating the first appearances of the most famous superheroes.","6,980",['David Galán Galindo'],"['Javier Rey', 'Verónica Echegui', 'Brays Efe', 'Antonio Resines']",,"Action, Crime, Drama",96 min
Monsters of Man,5.4,A US weapons manufacturer tests its 4 killer robots on heroin producers in the Golden Triangle in SEAsia. It goes haywire.,"6,979",['Mark Toia'],"['Neal McDonough', 'Brett Tutor', 'Jose Rosete', 'David Haverty']",,"Action, Sci-Fi, Thriller",131 min
Paranormal,7.2,"15 | 55 min | Drama, Fantasy, Horror","6,958","['Majid Al Ansari', 'Amr Salama']","['Karim El Hakim', 'Ahmed Amin', 'Reem Abd El Kader', 'Samma Ibrahim']",,"Drama, Fantasy, Horror",55 min
