Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Emma.,6.7,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.","54,181",['Autumn de Wilde'],"['Anya Taylor-Joy', 'Johnny Flynn', 'Mia Goth', ""Josh O'Connor""]",71,"Comedy, Drama, Romance",124 min
Ma Rainey's Black Bottom,6.9,Tensions rise when trailblazing blues singer Ma Rainey and her band gather at a recording studio in Chicago in 1927.,"53,423",['George C. Wolfe'],"['Viola Davis', 'Chadwick Boseman', 'Glynn Turman', 'Colman Domingo']",87,"Drama, Music",94 min
Fantasy Island,4.9,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.","52,757",['Jeff Wadlow'],"['Michael Peña', 'Maggie Q', 'Lucy Hale', 'Austin Stowell']",22,"Fantasy, Horror, Mystery",109 min
The Night House,6.5,A widow begins to uncover her recently deceased husband's disturbing secrets.,"52,413",['David Bruckner'],"['Rebecca Hall', 'Sarah Goldberg', 'Vondie Curtis-Hall', 'Evan Jonigkeit']",68,"Horror, Mystery, Thriller",107 min
Alice in Borderland,7.6,A group of bored delinquents are transported to a parallel dimension as part of a survival game.,"51,850",,"['Kento Yamazaki', 'Tao Tsuchiya', 'Nijirô Murakami', 'Yûtarô Watanabe']",,"Action, Drama, Mystery",50 min
Da 5 Bloods,6.5,Four African-American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,"51,600",['Spike Lee'],"['Delroy Lindo', 'Jonathan Majors', 'Clarke Peters', 'Norm Lewis']",82,"Adventure, Drama, War",154 min
Hubie Halloween,5.2,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.","50,798",['Steven Brill'],"['Adam Sandler', 'Kevin James', 'Julie Bowen', 'Ray Liotta']",53,"Comedy, Mystery",103 min
The Stranger,7.3,Follows the lives of suburban families whose secrets and lies are made public by the appearance of a stranger.,"50,654",,"['Richard Armitage', 'Shaun Dooley', 'Siobhan Finneran', 'Jacob Dudman']",,"Crime, Drama, Mystery",363 min
Honest Thief,6.0,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.","50,594",['Mark Williams'],"['Liam Neeson', 'Kate Walsh', 'Jai Courtney', 'Jeffrey Donovan']",46,"Action, Thriller",99 min
Riders of Justice,7.5,"Markus goes home to his teenage daughter, Mathilde, when his wife dies in a train crash. All appears to be a tragic accident until a mathematics geek, who was also a fellow passenger on the train, and his two colleagues show up.","50,349",['Anders Thomas Jensen'],"['Mads Mikkelsen', 'Nikolaj Lie Kaas', 'Andrea Heick Gadeberg', 'Lars Brygmann']",81,"Action, Comedy, Drama",116 min
Pieces of a Woman,7.0,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.","49,917",['Kornél Mundruczó'],"['Vanessa Kirby', 'Shia LaBeouf', 'Ellen Burstyn', 'Iliza Shlesinger']",66,Drama,126 min
The Call of the Wild,6.7,A sled dog struggles for survival in the wilds of the Yukon.,"49,413",['Chris Sanders'],"['Harrison Ford', 'Omar Sy', 'Cara Gee', 'Dan Stevens']",48,"Adventure, Drama, Family",100 min
Outer Banks,7.6,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long-buried secret.,"49,131",,"['Chase Stokes', 'Madelyn Cline', 'Madison Bailey', 'Rudy Pankow']",,"Action, Crime, Drama",50 min
